estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
41,576,8,"(100000, 818)","(64, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
42,576,8,"(100000, 818)","(128, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
43,576,8,"(100000, 818)","(128, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
44,576,8,"(100000, 818)","(256, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
45,576,16,"(100000,)","(8,)",12500,4.725899320912508,2.8714111811590204,Compute
46,576,16,"(100000, 818)","(1, 8)",10300000,4.735776961496627,2.8654221390551995,Compute
47,576,16,"(100000,)","(16,)",6250,4.680494908138072,2.899266085623886,Compute
48,576,16,"(100000, 818)","(1, 16)",5200000,4.68591313587128,2.895913722177192,Compute
49,576,16,"(100000,)","(32,)",6250,4.680494908138072,2.899266085623886,Compute
50,576,16,"(100000, 818)","(1, 32)",5200000,4.68591313587128,2.895913722177192,Compute
51,576,16,"(100000,)","(64,)",6250,4.680494908138072,2.899266085623886,Compute
52,576,16,"(100000, 818)","(1, 64)",5200000,4.68591313587128,2.895913722177192,Compute
53,576,16,"(100000,)","(128,)",6250,4.680494908138072,2.899266085623886,Compute
54,576,16,"(100000, 818)","(1, 128)",5200000,4.68591313587128,2.895913722177192,Compute
55,576,16,"(100000,)","(256,)",6250,4.680494908138072,2.899266085623886,Compute
56,576,16,"(100000, 818)","(1, 256)",5200000,4.68591313587128,2.895913722177192,Compute
57,576,16,"(100000, 818)","(2, 4)",10250000,4.7352887613282055,2.865717559174519,Compute
58,576,16,"(100000, 818)","(2, 8)",5150000,4.685424851157404,2.8962155156000216,Compute
59,576,16,"(100000, 818)","(2, 16)",5150000,4.685424851157404,2.8962155156000216,Compute
60,576,16,"(100000, 818)","(2, 32)",5150000,4.685424851157404,2.8962155156000216,Compute
61,576,16,"(100000, 818)","(2, 64)",5150000,4.685424851157404,2.8962155156000216,Compute
62,576,16,"(100000, 818)","(2, 128)",5150000,4.685424851157404,2.8962155156000216,Compute
63,576,16,"(100000, 818)","(4, 2)",10225000,4.735044618971267,2.8658653176637237,Compute
64,576,16,"(100000, 818)","(4, 4)",5125000,4.685180708800466,2.896366435900887,Compute
65,576,16,"(100000, 818)","(4, 8)",5125000,4.685180708800466,2.896366435900887,Compute
66,576,16,"(100000, 818)","(4, 16)",5125000,4.685180708800466,2.896366435900887,Compute
67,576,16,"(100000, 818)","(4, 32)",5125000,4.685180708800466,2.896366435900887,Compute
68,576,16,"(100000, 818)","(4, 64)",5125000,4.685180708800466,2.896366435900887,Compute
69,576,16,"(100000, 818)","(8, 1)",10225000,4.735044618971267,2.8658653176637237,Compute
70,576,16,"(100000, 818)","(8, 2)",5112500,4.685058595349269,2.896441928084009,Compute
71,576,16,"(100000, 818)","(8, 4)",5112500,4.685058595349269,2.896441928084009,Compute
72,576,16,"(100000, 818)","(8, 8)",5112500,4.685058595349269,2.896441928084009,Compute
73,576,16,"(100000, 818)","(8, 16)",5112500,4.685058595349269,2.896441928084009,Compute
74,576,16,"(100000, 818)","(8, 32)",5112500,4.685058595349269,2.896441928084009,Compute
75,576,16,"(100000, 818)","(16, 1)",5112500,4.685058595349269,2.896441928084009,Compute
76,576,16,"(100000, 818)","(16, 2)",5112500,4.685058595349269,2.896441928084009,Compute
77,576,16,"(100000, 818)","(16, 4)",5112500,4.685058595349269,2.896441928084009,Compute
78,576,16,"(100000, 818)","(16, 8)",5112500,4.685058595349269,2.896441928084009,Compute
79,576,16,"(100000, 818)","(16, 16)",5112500,4.685058595349269,2.896441928084009,Compute
80,576,16,"(100000, 818)","(32, 1)",5112500,4.685058595349269,2.896441928084009,Compute
81,576,16,"(100000, 818)","(32, 2)",5112500,4.685058595349269,2.896441928084009,Compute
82,576,16,"(100000, 818)","(32, 4)",5112500,4.685058595349269,2.896441928084009,Compute
83,576,16,"(100000, 818)","(32, 8)",5112500,4.685058595349269,2.896441928084009,Compute
84,576,16,"(100000, 818)","(64, 1)",5112500,4.685058595349269,2.896441928084009,Compute
85,576,16,"(100000, 818)","(64, 2)",5112500,4.685058595349269,2.896441928084009,Compute
86,576,16,"(100000, 818)","(64, 4)",5112500,4.685058595349269,2.896441928084009,Compute
87,576,16,"(100000, 818)","(128, 1)",5112500,4.685058595349269,2.896441928084009,Compute
88,576,16,"(100000, 818)","(128, 2)",5112500,4.685058595349269,2.896441928084009,Compute
89,576,16,"(100000, 818)","(256, 1)",5112500,4.685058595349269,2.896441928084009,Compute
90,576,32,"(100000,)","(8,)",12500,4.816205399188654,2.8175708937550756,Compute
91,576,32,"(100000, 818)","(1, 8)",10300000,4.835980125811437,2.806049611054401,Compute
92,576,32,"(100000,)","(16,)",6250,4.725647947276144,2.871563921498156,Compute
93,576,32,"(100000, 818)","(1, 16)",5200000,4.736502833651652,2.864983011239555,Compute
94,576,32,"(100000,)","(32,)",3125,4.677814000865345,2.9009276872893395,Compute
95,576,32,"(100000, 818)","(1, 32)",2600000,4.683241444053098,2.8975657807118904,Compute
96,576,32,"(100000,)","(64,)",3125,4.677814000865345,2.9009276872893395,Compute
97,576,32,"(100000, 818)","(1, 64)",2600000,4.683241444053098,2.8975657807118904,Compute
98,576,32,"(100000,)","(128,)",3125,4.677814000865345,2.9009276872893395,Compute
99,576,32,"(100000, 818)","(1, 128)",2600000,4.683241444053098,2.8975657807118904,Compute
100,576,32,"(100000,)","(256,)",3125,4.677814000865345,2.9009276872893395,Compute
101,576,32,"(100000, 818)","(1, 256)",2600000,4.683241444053098,2.8975657807118904,Compute
102,576,32,"(100000, 818)","(2, 4)",10250000,4.835003810020048,2.8066162270601667,Compute
103,576,32,"(100000, 818)","(2, 8)",5150000,4.735526433314809,2.865573731282325,Compute
104,576,32,"(100000, 818)","(2, 16)",2600000,4.683241444053098,2.8975657807118904,Compute
105,576,32,"(100000, 818)","(2, 32)",2600000,4.683241444053098,2.8975657807118904,Compute
106,576,32,"(100000, 818)","(2, 64)",2600000,4.683241444053098,2.8975657807118904,Compute
107,576,32,"(100000, 818)","(2, 128)",2600000,4.683241444053098,2.8975657807118904,Compute
108,576,32,"(100000, 818)","(4, 2)",10225000,4.834515609851627,2.8068996454262076,Compute
109,576,32,"(100000, 818)","(4, 4)",5125000,4.735038233146387,2.8658691826618816,Compute
110,576,32,"(100000, 818)","(4, 8)",2575000,4.682753243884677,2.8978678662646584,Compute
111,576,32,"(100000, 818)","(4, 16)",2575000,4.682753243884677,2.8978678662646584,Compute
112,576,32,"(100000, 818)","(4, 32)",2575000,4.682753243884677,2.8978678662646584,Compute
113,576,32,"(100000, 818)","(4, 64)",2575000,4.682753243884677,2.8978678662646584,Compute
114,576,32,"(100000, 818)","(8, 1)",10225000,4.834515609851627,2.8068996454262076,Compute
115,576,32,"(100000, 818)","(8, 2)",5112500,4.734794090789449,2.8660169567875386,Compute
116,576,32,"(100000, 818)","(8, 4)",2562500,4.682509101527739,2.8980189588254257,Compute
117,576,32,"(100000, 818)","(8, 8)",2562500,4.682509101527739,2.8980189588254257,Compute
118,576,32,"(100000, 818)","(8, 16)",2562500,4.682509101527739,2.8980189588254257,Compute
119,576,32,"(100000, 818)","(8, 32)",2562500,4.682509101527739,2.8980189588254257,Compute
120,576,32,"(100000, 818)","(16, 1)",5112500,4.734794090789449,2.8660169567875386,Compute
121,576,32,"(100000, 818)","(16, 2)",2556250,4.682387072621997,2.8980944848502674,Compute
122,576,32,"(100000, 818)","(16, 4)",2556250,4.682387072621997,2.8980944848502674,Compute
123,576,32,"(100000, 818)","(16, 8)",2556250,4.682387072621997,2.8980944848502674,Compute
124,576,32,"(100000, 818)","(16, 16)",2556250,4.682387072621997,2.8980944848502674,Compute
125,576,32,"(100000, 818)","(32, 1)",2556250,4.682387072621997,2.8980944848502674,Compute
126,576,32,"(100000, 818)","(32, 2)",2556250,4.682387072621997,2.8980944848502674,Compute
127,576,32,"(100000, 818)","(32, 4)",2556250,4.682387072621997,2.8980944848502674,Compute
128,576,32,"(100000, 818)","(32, 8)",2556250,4.682387072621997,2.8980944848502674,Compute
129,576,32,"(100000, 818)","(64, 1)",2556250,4.682387072621997,2.8980944848502674,Compute
130,576,32,"(100000, 818)","(64, 2)",2556250,4.682387072621997,2.8980944848502674,Compute
131,576,32,"(100000, 818)","(64, 4)",2556250,4.682387072621997,2.8980944848502674,Compute
132,576,32,"(100000, 818)","(128, 1)",2556250,4.682387072621997,2.8980944848502674,Compute
133,576,32,"(100000, 818)","(128, 2)",2556250,4.682387072621997,2.8980944848502674,Compute
134,576,32,"(100000, 818)","(256, 1)",2556250,4.682387072621997,2.8980944848502674,Compute
135,576,8,"(100000,)","(8,)",12500,4.680746281774436,2.8991103841577397,Compute
136,576,8,"(100000, 818)","(1, 8)",10300000,4.685675379339222,2.8960606641541715,Compute
137,576,8,"(100000,)","(16,)",12500,4.680746281774436,2.8991103841577397,Compute
138,576,8,"(100000, 818)","(1, 16)",10300000,4.685675379339222,2.8960606641541715,Compute
139,576,8,"(100000,)","(32,)",12500,4.680746281774436,2.8991103841577397,Compute
140,576,8,"(100000, 818)","(1, 32)",10300000,4.685675379339222,2.8960606641541715,Compute
141,576,8,"(100000,)","(64,)",12500,4.680746281774436,2.8991103841577397,Compute
142,576,8,"(100000, 818)","(1, 64)",10300000,4.685675379339222,2.8960606641541715,Compute
143,576,8,"(100000,)","(128,)",12500,4.680746281774436,2.8991103841577397,Compute
144,576,8,"(100000, 818)","(1, 128)",10300000,4.685675379339222,2.8960606641541715,Compute
145,576,8,"(100000,)","(256,)",12500,4.680746281774436,2.8991103841577397,Compute
146,576,8,"(100000, 818)","(1, 256)",10300000,4.685675379339222,2.8960606641541715,Compute
147,576,8,"(100000, 818)","(2, 4)",10250000,4.685431236982284,2.896211568316589,Compute
148,576,8,"(100000, 818)","(2, 8)",10250000,4.685431236982284,2.896211568316589,Compute
149,576,8,"(100000, 818)","(2, 16)",10250000,4.685431236982284,2.896211568316589,Compute
150,576,8,"(100000, 818)","(2, 32)",10250000,4.685431236982284,2.896211568316589,Compute
151,576,8,"(100000, 818)","(2, 64)",10250000,4.685431236982284,2.896211568316589,Compute
152,576,8,"(100000, 818)","(2, 128)",10250000,4.685431236982284,2.896211568316589,Compute
153,576,8,"(100000, 818)","(4, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
154,576,8,"(100000, 818)","(4, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
155,576,8,"(100000, 818)","(4, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
156,576,8,"(100000, 818)","(4, 16)",10225000,4.685309123531088,2.8962870524267466,Compute
157,576,8,"(100000, 818)","(4, 32)",10225000,4.685309123531088,2.8962870524267466,Compute
158,576,8,"(100000, 818)","(4, 64)",10225000,4.685309123531088,2.8962870524267466,Compute
159,576,8,"(100000, 818)","(8, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
160,576,8,"(100000, 818)","(8, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
161,576,8,"(100000, 818)","(8, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
162,576,8,"(100000, 818)","(8, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
