region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
576,0,l3,2831291584.0,1896386752.0,934904832.0,59189755332.06433,39645039917.530495,19544715414.53383,0.210190892514433,0.14078494288895774,0.06940594962547525,0.0100543025,0.006734327954545455,0.0033199745454545455,53.80886848369484,36.04094537957318,17.767923104121664
576,0,gti,402091.00000000006,402091.00000000006,0.0,8405940.259110056,8405940.259110056,0.0,5.970128024936119e-05,0.00011940256049872238,0.0,5.711519886363637e-06,5.711519886363637e-06,0.0,0.007641763871918232,0.007641763871918232,0.0
576,0,llc,402091.00000000006,402091.00000000006,0.0,8405940.259110056,8405940.259110056,0.0,5.970128024936119e-05,0.00011940256049872238,0.0,5.711519886363637e-06,5.711519886363637e-06,0.0,0.007641763871918232,0.007641763871918232,0.0
576,0,dram,402091.0,402091.0,0.0,8405940.259110054,8405940.259110054,0.0,0.00017512375539812614,0.00017512375539812614,0.0,8.376895833333334e-06,8.376895833333334e-06,0.0,0.007641763871918231,0.007641763871918231,0.0
6,0,l3,2821324672.0,1890314752.0,931009920.0,58981391387.4851,39518101315.937035,19463290071.54806,0.209450963733967,0.14033416660489006,0.06911679712907692,0.010018908636363637,0.006712765454545455,0.0033061431818181817,53.61944671589554,35.92554665085185,17.693900065043692
6,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
6,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
6,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
84,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,l3,2799973376.0,1879639104.0,920334272.0,58535030442.74728,39294920843.56812,19240109599.17915,0.2078658751518014,0.13954162231380726,0.06832425283799413,0.009943087272727273,0.006674854772727273,0.0032682325,53.213664038861154,35.72265531233466,17.4910087265265
11,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
11,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
11,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
12,0,l3,2757288768.0,1858296704.0,898992064.0,57642684518.98492,38848745874.75253,18793938644.232384,0.20469703309298623,0.1379571941575019,0.06673983893548431,0.00979150840909091,0.006599065,0.0031924434090909093,52.40244047180447,35.31704170432048,17.085398767483984
12,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
12,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
12,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
